name,PlantPartHarvested,parent,AvMoisture,AvN,AvP,AvK
Medicago sativa,Aboveground biomass,Forage,15.25,2.39,0.22,1.99
Bromus inermis,Aboveground biomass,Forage,12.40,1.97,0.28,1.99
Nicotiana tabacum,Leaf,Fiber and miscellaneous,20.00,2.13,0.27,1.99
Citrus grandis,Fruit,Tree and fruit,89.10,1.12,0.16,1.98
Trifolium pratense,Aboveground biomass,Forage,74.27,2.42,0.28,1.98
Poa sp.,Aboveground biomass,Forage,70.70,2.00,0.31,1.97
Panicum virgatum,Aboveground biomass,Forage,58.07,0.82,0.15,1.97
Poaceae,Aboveground biomass,Forage,72.50,2.50,0.26,1.97
Fragaria X ananassa var. ananassa,Fruit,Tree and fruit,91.28,1.25,0.21,1.97
Poa pratensis,Aboveground biomass,Forage,70.47,2.60,0.40,1.97
Trifolium pratense,Aboveground biomass,Forage,73.58,2.37,0.28,1.96
